source,target,weight,distance,source_name,target_name
4953836,9583743,1,1.0,B. Kempen,Maria Ruiperez González
30504500,9030720,1,1.0,M. Kilibarda,Aleksandar Blagotić
2228185935,30504500,1,1.0,Shangguan Wei,M. Kilibarda
30504500,3376186,1,1.0,M. Kilibarda,Marvin N. Wright
3018223,30504500,1,1.0,X. Geng,M. Kilibarda
1402912902,30504500,1,1.0,B. Bauer-Marschallinger,M. Kilibarda
145669099,30504500,1,1.0,M. Guevara,M. Kilibarda
145632581,30504500,1,1.0,R. Vargas,M. Kilibarda
145028966,30504500,1,1.0,R. MacMillan,M. Kilibarda
30504500,49399380,1,1.0,M. Kilibarda,N. Batjes
100653750,30504500,1,1.0,J. Leenaars,M. Kilibarda
30504500,32830771,1,1.0,M. Kilibarda,E. Ribeiro
2924968,30504500,1,1.0,Ichsani Wheeler,M. Kilibarda
2146245,30504500,1,1.0,S. Mantel,M. Kilibarda
30504500,4953836,1,1.0,M. Kilibarda,B. Kempen
2228185935,9030720,1,1.0,Shangguan Wei,Aleksandar Blagotić
3376186,9030720,1,1.0,Marvin N. Wright,Aleksandar Blagotić
3018223,9030720,1,1.0,X. Geng,Aleksandar Blagotić
1402912902,9030720,1,1.0,B. Bauer-Marschallinger,Aleksandar Blagotić
145669099,9030720,1,1.0,M. Guevara,Aleksandar Blagotić
145632581,9030720,1,1.0,R. Vargas,Aleksandar Blagotić
145028966,9030720,1,1.0,R. MacMillan,Aleksandar Blagotić
49399380,9030720,1,1.0,N. Batjes,Aleksandar Blagotić
100653750,9030720,1,1.0,J. Leenaars,Aleksandar Blagotić
32830771,9030720,1,1.0,E. Ribeiro,Aleksandar Blagotić
2924968,9030720,1,1.0,Ichsani Wheeler,Aleksandar Blagotić
2146245,9030720,1,1.0,S. Mantel,Aleksandar Blagotić
4953836,9030720,1,1.0,B. Kempen,Aleksandar Blagotić
2228185935,3376186,1,1.0,Shangguan Wei,Marvin N. Wright
2228185935,3018223,1,1.0,Shangguan Wei,X. Geng
1402912902,2228185935,1,1.0,B. Bauer-Marschallinger,Shangguan Wei
145669099,2228185935,1,1.0,M. Guevara,Shangguan Wei
145632581,2228185935,1,1.0,R. Vargas,Shangguan Wei
